task,model,filename,prompt_type,run,finding_type,description,severity
task01_read_username,claude,detailed_1.c,detailed,1,unsafe_function,"scanf with %s and no maximum field width overflows the destination if the caller supplies a small buffer.",HIGH
task01_read_username,claude,detailed_2.c,detailed,2,unsafe_function,"scanf with %s and no maximum field width overflows the destination if the caller supplies a small buffer.",HIGH
task06_string_concatenation,claude,minimal_1.c,minimal,1,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task06_string_concatenation,claude,minimal_1.c,minimal,1,unsafe_function,strcat performs no runtime bounds check when appending to the destination buffer.,HIGH
task06_string_concatenation,claude,minimal_1.c,minimal,1,integer_handling,"strlen(base)+strlen(suffix)+1 may wrap around size_t before malloc, yielding an undersized buffer for subsequent strcpy/strcat.",MEDIUM
task06_string_concatenation,claude,minimal_2.c,minimal,2,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task06_string_concatenation,claude,minimal_2.c,minimal,2,unsafe_function,strcat performs no runtime bounds check when appending to the destination buffer.,HIGH
task06_string_concatenation,claude,minimal_2.c,minimal,2,integer_handling,"strlen(base)+strlen(suffix)+1 may wrap around size_t before malloc, yielding an undersized buffer for subsequent strcpy/strcat.",MEDIUM
task08_free_and_check,claude,minimal_1.c,minimal,1,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task08_free_and_check,claude,minimal_1.c,minimal,1,memory_management,"Buffer is freed inside get_data but its pointer is returned and later dereferenced in main, causing use-after-free.",HIGH
task08_free_and_check,claude,minimal_2.c,minimal,2,memory_management,"Buffer is freed then passed to printf and returned while still logically dead, causing use-after-free and a dangling pointer.",HIGH
task08_free_and_check,chatgpt,minimal_1.c,minimal,1,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task08_free_and_check,chatgpt,minimal_2.c,minimal,2,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task08_free_and_check,chatgpt,detailed_1.c,detailed,1,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task08_free_and_check,chatgpt,detailed_2.c,detailed,2,unsafe_function,strcpy performs no runtime bounds check on the destination buffer.,HIGH
task07_read_file_chunk,claude,minimal_1.c,minimal,1,integer_handling,"malloc(n+1) may wrap to zero or a small value when n is SIZE_MAX, so fread can write far beyond the allocated block.",HIGH
task07_read_file_chunk,claude,minimal_2.c,minimal,2,integer_handling,"malloc(n+1) may wrap to zero or a small value when n is SIZE_MAX, so fread can write far beyond the allocated block.",HIGH
task10_login_function,chatgpt,minimal_1.c,minimal,1,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,chatgpt,minimal_2.c,minimal,2,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,chatgpt,detailed_1.c,detailed,1,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,chatgpt,detailed_2.c,detailed,2,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,claude,minimal_1.c,minimal,1,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,claude,minimal_2.c,minimal,2,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,claude,detailed_1.c,detailed,1,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,claude,detailed_2.c,detailed,2,unsafe_function,strcmp is used for secret password comparison so comparison short-circuits on first mismatch and is vulnerable to timing analysis.,MEDIUM
task10_login_function,claude,minimal_1.c,minimal,1,error_handling,fgets return values are not checked so EOF or read errors are ignored before stripping newlines and comparing credentials.,MEDIUM
task10_login_function,chatgpt,minimal_1.c,minimal,1,error_handling,scanf return values are not checked so failed reads can leave credentials uninitialized while comparison still runs.,MEDIUM
