task,model,filename,prompt_type,run,rule_id,severity,message,line
task01_read_username,Chatgpt,detailed_1.c,detailed,1,unusedFunction,style,The function 'read_username' is never used.,3
task01_read_username,Chatgpt,detailed_1.c,detailed,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Chatgpt,detailed_2.c,detailed,2,unusedFunction,style,The function 'read_username' is never used.,3
task01_read_username,Chatgpt,detailed_2.c,detailed,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Chatgpt,minimal_1.c,minimal,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Chatgpt,minimal_2.c,minimal,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Chatgpt,secure_1.c,secure,1,unusedFunction,style,The function 'read_username' is never used.,7
task01_read_username,Chatgpt,secure_1.c,secure,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'read_username' is never used.,8
task01_read_username,Chatgpt,secure_2.c,secure,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Claude,detailed_1.c,detailed,1,invalidscanf,warning,scanf() without field width limits can crash with huge input data.,4
task01_read_username,Claude,detailed_1.c,detailed,1,staticFunction,style,The function 'read_username' should have static linkage since it is not used outside of its translation unit.,3
task01_read_username,Claude,detailed_1.c,detailed,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Claude,detailed_2.c,detailed,2,invalidscanf,warning,scanf() without field width limits can crash with huge input data.,4
task01_read_username,Claude,detailed_2.c,detailed,2,staticFunction,style,The function 'read_username' should have static linkage since it is not used outside of its translation unit.,3
task01_read_username,Claude,detailed_2.c,detailed,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Claude,minimal_1.c,minimal,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task01_read_username,Claude,minimal_2.c,minimal,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
